brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen
R y8,Ram Restaurant & Brewery,700 N. Milwaukee Ave.,Wheeling,IL,NA,http://www.theram.com/locations/il-wheeling/,kitchen & beer,"-87.91456,42.152607",112363586,no,42.152607,-87.91456,no,no,yes
Rig8,Rabid Brewing,17759 Bretz Dr.,Homewood,IL,NA,http://rabidgod.com/,tap room,NA,NA,no,NA,NA,yes,no,no
Rig9,Ravinia Brewing,615 Roger Williams Ave.,Highland Park,IL,NA,http://www.raviniabrewing.com,NA,"-87.78612,42.165504",119651891,no,42.165504,-87.78612,no,no,no
Rkd2,Rock Bottom – Lombard,94 Yorktown Shopping Center,Lombard,IL,NA,http://www.rockbottom.com/locations/lombard-yorktown-center,kitchen & beer,NA,NA,no,NA,NA,no,no,yes
Rke8,Rock Bottom – Warrenville,28256 Diehl Rd.,Warrenville,IL,NA,http://www.rockbottom.com/locations/warrenville,kitchen & beer,"-88.1635,41.80129",112679547,no,41.80129,-88.1635,no,no,yes
Rkk2,Rock Bottom – Bolingbrook,639 E. Boughton Rd. #100,Bolingbrook,IL,NA,https://rockbottom.com/locations/bolingbrook/,kitchen & beer,NA,NA,no,NA,NA,no,no,yes
Rkk6,Rock Bottom – Orland Park,16156 S. La Grange Rd.,Orland Park,IL,NA,http://www.rockbottom.com/locations/orland-park,kitchen & beer,"-87.85266,41.59404",111883950,no,41.59404,-87.85266,no,no,yes
Rky6,Rock Bottom Restaurant & Brewery,1 W. Grand Ave.,Chicago,IL,River North,http://www.rockbottom.com/locations/chicago,kitchen & beer,"-87.6282,41.891663",111769012,yes,41.891663,-87.6282,no,no,yes
Rob3,Revolution Brewing – Brewpub,2323 N. Milwaukee Ave.,Chicago,IL,Logan Square,http://revbrew.com/home,"kitchen & beer, tour","-87.69819,41.923428",111762626,yes,41.923428,-87.69819,no,yes,yes
Rom3,Revolution Brewing – Taproom,3340 N. Kedzie Ave.,Chicago,IL,Avondale,http://revbrew.com/home,"tap room, tour","-87.7077,41.942093",111757318,yes,41.942093,-87.7077,yes,yes,no
Rrg2,Roaring Table Brewing,739 W Route 22,Lake Zurich,IL,NA,http://roaringtable.com/,tap room,"-88.08023,42.19746",613797760,no,42.19746,-88.08023,yes,no,no
Scb6,Stockholm's Brewpub,306 W. State St.,Geneva,IL,NA,http://www.stockholmsbrewpub.com,kitchen & beer,"-88.30737,41.88785",119507861,no,41.88785,-88.30737,no,no,yes
Sey7,Side Lot Brewery,110 Slocum Lake Rd,Wauconda,IL,NA,http://sidelotbrewing.com/,tap room,"-88.142876,42.2608",119632732,no,42.2608,-88.142876,yes,no,no
Sey8,Solemn Oath Brewery,1661 Quincy Ave. #179,Naperville,IL,NA,http://solemnoathbrewery.com,tap room,"-88.19403,41.774796",112535408,no,41.774796,-88.19403,yes,no,no
Si.7,Strike Ten Brewing Co.,NA,Algonquin,IL,NA,https://www.facebook.com/Strike-Ten-Brewing-Company-LLC-597063563782615/,NA,NA,NA,no,NA,NA,no,no,no
Slg10,Scallywag Brewing,NA,Clarendon Hills,IL,NA,https://www.scallywagbrewing.com/,NA,NA,NA,no,NA,NA,no,no,no
Slg2,Sullers Past Brewing,NA,Chicago,IL,NA,https://www.facebook.com/sullerspast/,NA,NA,NA,no,NA,NA,no,no,no
Slg5,Smylie Bros. Brewing,1615 Oak Ave.,Evanston,IL,NA,http://smyliebros.com,kitchen & beer,"-87.68678,42.047466",605215812,no,42.047466,-87.68678,no,no,yes
Sly2,Small Town Brewery,1000 Brown St.,Wauconda,IL,NA,http://smalltownbrewery.com,tour,"-88.151436,42.27461",119632604,no,42.27461,-88.151436,no,yes,no
Sly9,Skeleton Key Brewery,8 102 Lemont Rd,Woodridge,IL,NA,http://www.skeletonkeybrewery.com/,tap room,NA,NA,no,NA,NA,yes,no,no
Sng5,Saint John Malt Brothers Brewing,9607 Wicker Ave.,St. John,IN,NA,http://www.sjmaltbros.com,tap room,NA,NA,no,NA,NA,yes,no,no
Sng6,Soundgrowler Brewing,8201 183rd St.,Tinley Park,IL,NA,http://www.soundgrowler.com/home,kitchen & beer,"-87.81752,41.557327",641702678,no,41.557327,-87.81752,no,no,yes
Snt3,Saint Errant,NA,Elk Grove Village,IL,NA,https://www.facebook.com/SaintErrantBrewing/,NA,NA,NA,no,NA,NA,no,no,no
Sps2,Stupid Hare Brews,NA,Elk Grove Village,IL,NA,http://shbrew.com/,NA,NA,NA,no,NA,NA,no,no,no
Sr.6,Scorched Earth Brewing Co.,203 Berg St.,Algonquin,IL,NA,http://scorchedearthbrewing.com,tap room,"-88.30316,42.171375",119825620,no,42.171375,-88.30316,yes,no,no
Sr.7,Short Fuse Brewing Co.,5000 N. River Rd,Schiller Park,IL,NA,http://www.shortfusebrewing.com/,kitchen & beer,"-87.86179,41.969795",641756807,no,41.969795,-87.86179,no,no,yes
Stg10,Sketchbook Brewing,825 Chicago Ave.,Evanston,IL,NA,http://www.sketchbookbrewing.com,tap room,"-87.67917,42.032955",111744984,no,42.032955,-87.67917,yes,no,no
Stg6,Spiteful Brewing,2050 W. Balmoral Ave.,Chicago,IL,Bowmanville,http://spitefulbrewing.com,tap room,"-87.68086,41.979652",605185676,yes,41.979652,-87.68086,yes,no,no
T .6,The Devil's Trumpet Brewing Co.,8250 Utah St.,Merrillville,IN,NA,http://thedevilstrumpet.com/home.html,tap room,"-87.29094,41.470486",607012861,no,41.470486,-87.29094,yes,no,no
T e8,Two Brothers Roundhouse,205 N. Broadway,Aurora,IL,NA,http://www.twobrothersbrewing.com/roundhouse/,kitchen & beer,"-88.309616,41.761177",119583363,no,41.761177,-88.309616,no,no,yes
T g6,Two Brothers Brewing,30W315 Calumet Ave. W.,Warrenville,IL,NA,http://www.twobrothersbrewing.com,"kitchen & beer, tour","-88.21161,41.824913",112526025,no,41.824913,-88.21161,no,yes,yes
T g7,Ten Ninety Brewing,1025 N Waukegan Rd.,Glenview,IL,NA,http://www.ten-ninety.com/,kitchen & beer,"-87.79883,42.07362",111734091,no,42.07362,-87.79883,no,no,yes
T k2,The Lucky Monk,105 Hollywood Blvd.,South Barrington,IL,NA,http://www.theluckymonk.com,kitchen & beer,"-88.145584,42.071163",112368600,no,42.071163,-88.145584,no,no,yes
Tbe7,Tribes Alehouse,11220 W. Lincoln Hwy.,Mokena,IL,NA,http://www.tribesalehouse.com/locations/,kitchen & beer,"-87.88956,41.50348",111549982,no,41.50348,-87.88956,no,no,yes
Th.5,Tighthead Brewing Co.,161 N. Archer Ave.,Mundelein,IL,NA,http://www.tightheadbrewing.com,tap room,"-88.00128,42.266468",119638152,no,42.266468,-88.00128,yes,no,no
Ti.3,Trail's Edge Brewing Co.,20 Kansas St,Frankfort,IL,NA,http://trailsedgebrewery.com/,kitchen & beer,"-87.85024,41.49847",111550914,no,41.49847,-87.85024,no,no,yes
Tp.7,Temperance Beer Co.,2000 Dempster St.,Evanston,IL,NA,http://temperancebeer.com,"tap room, tour","-87.700836,42.041092",636324642,no,42.041092,-87.700836,yes,yes,no
Ts.10,Twisted Hippo Brewing Co.,2925 W. Montrose Ave.,Chicago,IL,Albany Park,http://rudehippo.com,NA,"-87.70204,41.961224",605156425,yes,41.961224,-87.70204,no,no,no
U y10,Une Année / Hubbard's Cave Brewery,9082 W. Golf Rd.,Niles,IL,NA,http://uneannee.com,tap room,"-87.85204,42.05421",605003779,no,42.05421,-87.85204,yes,no,no
Uay9,Urban Renewal Brewery,5121 N. Ravenswood Ave.,Chicago,IL,Ravenswood,https://urbanrenewbrew.com/,NA,"-87.67437,41.974895",111761166,yes,41.974895,-87.67437,no,no,no
Veg4,Vice District Brewing,18022 Dixie Hwy.,Homewood,IL,NA,http://www.vicedistrictbrewing.com/,NA,"-87.66542,41.561996",111709618,no,41.561996,-87.66542,no,no,no
Vey1,Veteran Beer Company,320 W. Ohio St.,Chicago,IL,River North,http://www.veteranbeercompany.com,NA,"-87.63597,41.89237",111768528,yes,41.89237,-87.63597,no,no,no
Vly4,Village Vintner Winery & Brewery,2380 Esplanade Dr.,Algonquin,IL,NA,http://thevillagevintner.com,kitchen & beer,"-88.33827,42.144173",618430351,no,42.144173,-88.33827,no,no,yes
Wdg3,Windmill Brewing,2121 Gettler St,Dyer,IN,NA,https://www.facebook.com/WindmillBrewing,tap room,"-87.52281,41.493637",606275342,no,41.493637,-87.52281,yes,no,no
Wdg4,Wildrose Brewing,1104 E. Main St.,Griffith,IN,NA,https://twitter.com/wildrosebrewing,kitchen & beer,"-87.41548,41.522682",98429805,no,41.522682,-87.41548,no,no,yes
Wdy6,Wild Onion Pub & Brewery,22221 N. Pepper Rd.,Lake Barrington,IL,NA,http://www.onionbrewery.com,kitchen & beer,"-88.1848,42.18627",119700822,no,42.18627,-88.1848,no,no,yes
Wfg7,Wolfden Brewing,NA,Bloomingdale,IL,NA,http://www.wolfdenbrewing.com/,NA,NA,NA,no,NA,NA,no,no,no
Wg.4,Woggly Square Brewing Co.,NA,Tinley Park,IL,NA,https://www.wogglysquare.com/,NA,NA,NA,no,NA,NA,no,no,no
Wke3,Werk Force,14903 S. Center St.,Plainfield,IL,NA,http://www.werkforcebrewing.com,tap room,"-88.19836,41.612087",111533859,no,41.612087,-88.19836,yes,no,no
Wl.3,Will County Brewing Co.,1142 W Jefferson St.,Shorewood,IL,NA,https://www.willcountybrew.com/home-1.html,tap room,"-88.209206,41.521442",111597295,no,41.521442,-88.209206,yes,no,no
Wny1,Whiner Brewery,NA,NA,NA,NA,http://www.plantchicago.com,NA,NA,NA,NA,NA,NA,no,no,no
Zmr4,ZümBier,NA,NA,NA,NA,http://zumbier.com,NA,NA,NA,NA,NA,NA,no,no,no
