brewID,brewery,address,city,state,neighborhood,website,features,coord,coord2,inChicago,latitude,longitude,hasTapRoom,hasTour,hasKitchen
Bkg6,Bucket List Brewing,NA,Chicago,IL,NA,https://www.facebook.com/BucketListBrewing,NA,NA,NA,no,NA,NA,no,no,no
Bl.9,Bulldog Brewing Co.,1409 119th St.,Whiting,IN,NA,http://www.bulldogbrewingco.com,kitchen & beer,"-87.49513,41.67938",98416027,no,41.67938,-87.49513,no,no,yes
Blt9,Ballast Point,833 West Fulton Market,Chicago,IL,West Loop,https://www.ballastpoint.com/locations/,kitchen & beer,"-87.648796,41.88678",111767942,yes,41.88678,-87.648796,no,no,yes
Bnb5,Burnt City Brewing – Brewpub,2747 N. Lincoln Ave.,Chicago,IL,Lincoln Park,https://atlasbeer.com/,kitchen & beer,"-87.65739,41.931618",111764440,yes,41.931618,-87.65739,no,no,yes
Bng2,Burnt City Brewing,825 E. 99th St.,Chicago,IL,Roseland,https://atlasbeer.com/,NA,"-87.60476,41.714752",605518775,yes,41.714752,-87.60476,no,no,no
Bro7,Birreria Chicago,43 East Ohio St.,Chicago,IL,River North,http://www.eataly.com/chicago-birreria/,kitchen & beer,"-87.6266,41.892498",111769042,yes,41.892498,-87.6266,no,no,yes
By.7,Begyle Brewing Co.,1800 W. Cuyler St.,Chicago,IL,North Center,http://www.begylebrewing.com/home/,"tap room, tour","-87.675095,41.955154",111761717,yes,41.955154,-87.675095,yes,yes,no
Ccy10,Chicago Beer Company,NA,Chicago,IL,West Loop,http://www.chicagobeerco.com,NA,NA,NA,no,NA,NA,no,no,no
Ce.9,Cademon Brewing Co.,217 W. Main St.,Genoa,IL,NA,http://www.cademon.com,NA,"-88.69367,42.09737",52266288,no,42.09737,-88.69367,no,no,no
Cog4,Cahoots Brewing,NA,Oak Park,IL,NA,http://www.cahootsbrewing.com,NA,NA,NA,no,NA,NA,no,no,no
Crg5,Church Street Brewing,1480 Industrial Dr. Unit C,Itasca,IL,NA,http://www.churchstreetbrew.com,tap room,"-87.99516,41.970863",222441158,no,41.970863,-87.99516,yes,no,no
Crs8,Corridor Brewery & Provisions,3446 N. Southport Ave.,Chicago,IL,Lakeview,https://www.facebook.com/corridorchicago?fref=ts,kitchen & beer,"-87.663956,41.94457",111762279,yes,41.94457,-87.663956,no,no,yes
Csg7,Crystal Lake Brewing,150 N. Main St.,Crystal Lake,IL,NA,http://www.crystallakebrew.com,tap room,"-88.31612,42.246098",119821110,no,42.246098,-88.31612,yes,no,no
Cwg5,Crown Brewing,211 S. East St.,Crown Point,IN,NA,https://twitter.com/crownbrewing,kitchen & beer,"-87.363205,41.416508",98432843,no,41.416508,-87.363205,no,no,yes
Cza3,Cruz Blanca,900 W. Randolph St.,Chicago,IL,West Loop,https://twitter.com/cruzblancachi,kitchen & beer,"-87.649956,41.884483",605287188,yes,41.884483,-87.649956,no,no,yes
D s10,Dry City Brew Works,120B N. Main St.,Wheaton,IL,NA,http://www.drycitybrewworks.com/,tap room,"-88.106636,41.865192",112529287,no,41.865192,-88.106636,yes,no,no
Dey10,Dovetail Brewery,1800 W. Belle Plaine Ave.,Chicago,IL,North Center,http://www.dovetailbrewery.com/,"tap room, tour","-87.67433,41.95605",111761731,yes,41.95605,-87.67433,yes,yes,no
DHs8,DryHop Brewers,3155 N. Broadway Ave.,Chicago,IL,Lakeview,http://www.dryhopchicago.com,"kitchen & beer, tour","-87.64437,41.939335",605197507,yes,41.939335,-87.64437,no,yes,yes
DLr6,D. Litch's Beer,1139 Wilmette Ave.,Wilmette,IL,NA,https://www.facebook.com/dlitchsbeer/,NA,"-87.70584,42.07788",616790126,no,42.07788,-87.70584,no,no,no
Ee.9,Elder Brewing Co.,218 E. Cass St,Joliet,IL,NA,https://www.elderbrewingco.com/,tap room,"-88.07667,41.527912",111541648,no,41.527912,-88.07667,yes,no,no
Eee4,Emmett's Brewing Co. – Palatine,110 N. Brockway St.,Palatine,IL,NA,http://www.emmettsalehouse.com/,kitchen & beer,"-88.046196,42.113216",111695759,no,42.113216,-88.046196,no,no,yes
Eee6,Emmett's Brewing Co. – Downers Grove,5200 Main St.,Downers Grove,IL,NA,http://www.emmettsalehouse.com/,kitchen & beer,"-88.01025,41.7931",112701103,no,41.7931,-88.01025,no,no,yes
Eee9,Emmett's Brewing Co. – West Dundee,128 W. Main St.,West Dundee,IL,NA,http://www.emmettsalehouse.com/,kitchen & beer,"-88.27768,42.09813",119500593,no,42.09813,-88.27768,no,no,yes
Een1,Emmett's Brewing Co. – Wheaton,121 W. Front St.,Wheaton,IL,NA,https://emmettsbrewingco.com/,kitchen & beer,"-88.10703,41.864864",112529289,no,41.864864,-88.10703,no,no,yes
Eh.2,Elmhurst Brewing Co.,171 N Addison Ave.,Elmhurst,IL,NA,http://elmhurstbrewingcompany.com/,kitchen & beer,"-87.94157,41.9028",112545040,no,41.9028,-87.94157,no,no,yes
Eib9,Empirical Brewery – Brewpub,1328 W. Morse Ave.,Chicago,IL,Rogers Park,http://www.empiricalbrewery.com/brew-pub/,kitchen & beer,"-87.66472,42.007935",605265563,yes,42.007935,-87.66472,no,no,yes
Eiy3,Empirical Brewery,1801 W. Foster Ave.,Chicago,IL,Ravenswood,http://empiricalbrewery.com,tap room,"-87.67545,41.976086",605185579,yes,41.976086,-87.67545,yes,no,no
El.6,Evil Horse Brewing Co.,1336 Main St.,Crete,IL,NA,https://www.facebook.com/Evil-Horse-Brewing-Company-1425006197800364/?fref=nf,tap room,"-87.63133,41.445038",111553122,no,41.445038,-87.63133,yes,no,no
Els10,Englewood Brews,63rd St. & Halsted,Chicago,IL,Englewood,https://www.facebook.com/englewoodbrews/,NA,NA,NA,yes,NA,NA,no,no,no
Erg10,Energy City Brewing,2 1/2 West Wilson Street,Batavia,IL,NA,https://www.energycitybrewing.com/,Limited Bottle Shop,"-88.30913,41.84997",119584025,no,41.84997,-88.30913,no,no,no
Ese6,Eris Brewery & Ciderhouse,4240 W. Irving Park Rd.,Chicago,IL,Irving Park,http://erischicago.tumblr.com,kitchen & beer,"-87.73432,41.95358",605187163,yes,41.95358,-87.73432,no,no,yes
Et.1,Exit Strategy Brewing Co.,7700 W Madison,Forest Park,IL,NA,http://www.exitstrategybrewing.com/home,kitchen & beer,"-87.81695,41.879395",111754555,no,41.879395,-87.81695,no,no,yes
Fbt7,Forbidden Root,1746 W. Chicago Ave.,Chicago,IL,West Town,http://forbiddenroot.com,kitchen & beer,"-87.67113,41.896015",111764903,yes,41.896015,-87.67113,no,no,yes
Fc.4,Finch Beer Co.,1800 W. Walnut St.,Chicago,IL,Near West Side,http://www.finchbeer.com/,NA,"-87.67207,41.886055",111765034,yes,41.886055,-87.67207,no,no,no
Fpy4,Flapjack Brewery,6833 Stanley Ave.,Berwyn,IL,NA,http://www.flapjackbrewery.com,kitchen & beer,"-87.7943,41.83336",111794718,no,41.83336,-87.7943,no,no,yes
Fs.2,Flossmoor Station Brewing Co.,1035 Sterling Ave.,Flossmoor,IL,NA,http://www.flossmoorstation.com/brewery,kitchen & beer,"-87.67878,41.54344",111709823,no,41.54344,-87.67878,no,no,yes
Fsg2,Flesk Brewing,200 Applebee St. Suite E,Barrington,IL,NA,http://www.fleskbrewing.com,tap room,"-88.13828,42.155685",119635237,no,42.155685,-88.13828,yes,no,no
FSg5,FIBS Brewing,260 Howard Avenue,Des Plaines,IL,NA,http://www.fibsbrewing.com/,NA,"-87.91719,42.015827",605628024,no,42.015827,-87.91719,no,no,no
Ga.10,Great Central Brewing Co.,221 N Wood St.,Chicago,IL,Near West Side,http://www.chicagobusiness.com/realestate/20150812/CRED03/150819948/two-new-breweries-joining-goose-island-on-near-west-side,tap room,"-88.20681,41.881145",112516102,yes,41.881145,-88.20681,yes,no,no
Ge.6,Greenstar Brewing Co.,3800 N. Clark St.,Chicago,IL,Lakeview,http://www.uncommonground.com/pages/beer/27.php,"kitchen & beer, tour","-87.6597,41.951145",111891566,yes,41.951145,-87.6597,no,yes,yes
Gne10,Granite City Brewery - Naperville,1828 Abriter Ct.,Naperville,IL,NA,http://www.gcfb.net/locations/il,kitchen & beer,"-88.1293,41.802856",112675914,no,41.802856,-88.1293,no,no,yes
Gng10,Granite City Brewery - Schaumburg,801 Plaza Dr.,Schaumburg,IL,NA,http://www.gcfb.net/locations/il,kitchen & beer,"-88.042885,42.04357",111697901,no,42.04357,-88.042885,no,no,yes
Gnk10,Granite City Brewery - Orland Park,14035 S. La Grange Rd.,Orland Park,IL,NA,http://www.gcfb.net/locations/il,kitchen & beer,"-87.85402,41.63614",638644893,no,41.63614,-87.85402,no,no,yes
Go.7,Gino's East Brewing Co.,500 N. LaSalle St.,Chicago,IL,River North,http://ginoseastrivernorth.com/,kitchen & beer,NA,NA,yes,NA,NA,no,no,yes
Gs.2,Goose Island Beer Co.,1800 W. Fulton St.,Chicago,IL,Near West Side,http://www.gooseisland.com/,"tap room, tour","-87.6721,41.886852",111765032,yes,41.886852,-87.6721,yes,yes,no
Gse7,Goose Island Brewhouse,1800 N. Clybourn St.,Chicago,IL,Lincoln Park,http://www.gooseislandbrewpubs.com,"kitchen & beer, tour","-87.65356,41.9138",111764661,yes,41.9138,-87.65356,no,yes,yes
H d7,Hop Butcher for the World,NA,Darien,IL,NA,http://www.hopbutcher.com/,NA,NA,NA,no,NA,NA,no,no,no
Hbo3,Hofbräuhaus Chicago,5500 Park Pl.,Rosemont,IL,NA,http://www.hofbrauhauschicago.com,kitchen & beer,NA,NA,no,NA,NA,no,no,yes
Heg8,Hopewell Brewing,2760 N. Milwaukee Ave.,Chicago,IL,Logan Square,http://hopewellbrewing.com/,tap room,"-87.711205,41.931347",111758924,yes,41.931347,-87.711205,yes,no,no
Hf.6,Half Day Brewing Co.,200 Village Green,Lincolnshire,IL,NA,http://halfdaybrewing.com/,kitchen & beer,NA,NA,no,NA,NA,no,no,yes
Hf.7,Half Acre Beer Co.,2050 W. Balmoral Ave.,Chicago,IL,Bowmanville,http://chicago.curbed.com/archives/2014/05/15/half-acre-eyes-bowman-for-new-brewery-and-beer-garden.php,tap room,"-87.68086,41.979652",605185676,yes,41.979652,-87.68086,yes,no,no
Hfm3,Half Acre Beer Co. – Taproom,4257 N. Lincoln Ave.,Chicago,IL,North Center,http://halfacrebeer.com,"tap room, tour","-87.682236,41.959126",629477625,yes,41.959126,-87.682236,yes,yes,no
Hl.2,Hailstorm Brewing Co.,8060 186th St.,Tinley Park,IL,NA,http://www.hailstormbrewing.com,tap room,"-87.81428,41.553066",111593063,no,41.553066,-87.81428,yes,no,no
Hmy1,Haymarket Pub & Brewery,737 W. Randolph St.,Chicago,IL,West Loop,http://www.haymarketbrewing.com,kitchen & beer,"-87.6469,41.884293",605278192,yes,41.884293,-87.6469,no,no,yes
Ho.10,Hopothesis Beer Co.,730 W. Randolph St.,Chicago,IL,West Loop,http://www.hopothesis.com,NA,"-87.64679,41.884537",605287164,yes,41.884537,-87.64679,no,no,no
Hsw9,Horse Thief Hollow,10426 S. Western Ave.,Chicago,IL,Beverly,http://horsethiefbrewing.com,kitchen & beer,"-87.68156,41.704002",111822193,yes,41.704002,-87.68156,no,no,yes
Hv.2,Hopvine Brewing Co.,4030 Fox Valley Center Dr.,Aurora,IL,NA,http://www.hopvinebrewingcompany.com,kitchen & beer,"-88.21194,41.761066",639891903,no,41.761066,-88.21194,no,no,yes
Ieg8,Imperial Oak Brewing,501 Willow Blvd.,Willow Springs,IL,NA,http://www.imperialoakbrewing.com,tap room,"-87.87921,41.731945",111807510,no,41.731945,-87.87921,yes,no,no
Is.5,Itasca Brewing Co.,400 East Orchard St.,Itasca,IL,NA,http://www.itascabrewhouse.com/home.html,tap room,"-88.01142,41.97194",112712043,no,41.97194,-88.01142,yes,no,no
