Eib9,"1328 W. Morse Ave., Chicago, IL,  ",Match,Exact,"1328 W MORSE AVE, CHICAGO, IL, 60626","-87.66472,42.007935",605265563,R
Veg4,"18022 Dixie Hwy., Homewood, IL,  ",Match,Exact,"18022 DIXIE HWY, HOMEWOOD, IL, 60430","-87.66542,41.561996",111709618,R
A .6,"235 N. Ashland Ave., Chicago, IL,  ",Match,Exact,"235 N ASHLAND AVE, CHICAGO, IL, 60607","-87.667,41.886288",111765451,R
Aeg6,"5402 N. Clark St., Chicago, IL,  ",Match,Exact,"5402 N CLARK ST, CHICAGO, IL, 60640","-87.6683,41.980015",111761212,L
OT.2,"1725 W. Hubbard St., Chicago, IL,  ",Match,Exact,"1725 W HUBBARD ST, CHICAGO, IL, 60622","-87.67046,41.889824",111765066,L
Fbt7,"1746 W. Chicago Ave., Chicago, IL,  ",Match,Exact,"1746 W CHICAGO AVE, CHICAGO, IL, 60622","-87.67113,41.896015",111764903,R
Fc.4,"1800 W. Walnut St., Chicago, IL,  ",Match,Exact,"1800 W WALNUT ST, CHICAGO, IL, 60612","-87.67207,41.886055",111765034,R
Gs.2,"1800 W. Fulton St., Chicago, IL,  ",Match,Exact,"1800 W FULTON ST, CHICAGO, IL, 60612","-87.6721,41.886852",111765032,R
Dey10,"1800 W. Belle Plaine Ave., Chicago, IL,  ",Match,Exact,"1800 W BELLE PLAINE AVE, CHICAGO, IL, 60613","-87.67433,41.95605",111761731,R
Uay9,"5121 N. Ravenswood Ave., Chicago, IL,  ",Match,Exact,"5121 N RAVENSWOOD AVE, CHICAGO, IL, 60640","-87.67437,41.974895",111761166,R
Bda4,"4710 N. Ravenswood, Chicago, IL,  ",Match,Non_Exact,"4710 N RAVENSWOOD AVE, CHICAGO, IL, 60640","-87.674675,41.967216",605188732,L
By.7,"1800 W. Cuyler St., Chicago, IL,  ",Match,Non_Exact,"1800 W CUYLER AVE, CHICAGO, IL, 60613","-87.675095,41.955154",111761717,R
Eiy3,"1801 W. Foster Ave., Chicago, IL,  ",Match,Exact,"1801 W FOSTER AVE, CHICAGO, IL, 60640","-87.67545,41.976086",605185579,L
Pca10,"1927 W. North Ave., Chicago, IL,  ",Match,Exact,"1927 W NORTH AVE, CHICAGO, IL, 60622","-87.67611,41.910503",605068100,L
Fs.2,"1035 Sterling Ave., Flossmoor, IL,  ",Match,Exact,"1035 STERLING AVE, FLOSSMOOR, IL, 60422","-87.67878,41.54344",111709823,L
Stg10,"825 Chicago Ave., Evanston, IL,  ",Match,Exact,"825 CHICAGO AVE, EVANSTON, IL, 60202","-87.67917,42.032955",111744984,R
Pkg2,"623 Howard St., Evanston, IL, 60202",Match,Exact,"623 HOWARD ST, EVANSTON, IL, 60202","-87.67927,42.019444",616887312,R
Be.9,"13357 Old Western Ave., Blue Island, IL,  ",Match,Exact,"13357 WESTERN AVE, BLUE ISLAND, IL, 60406","-87.68005,41.650917",111826445,L
Hf.7,"2050 W. Balmoral Ave., Chicago, IL,  ",Match,Exact,"2050 W BALMORAL AVE, CHICAGO, IL, 60625","-87.68086,41.979652",605185676,R
Stg6,"2050 W. Balmoral Ave., Chicago, IL,  ",Match,Exact,"2050 W BALMORAL AVE, CHICAGO, IL, 60625","-87.68086,41.979652",605185676,R
On.4,"10934 S. Western Ave., Chicago, IL,  ",Match,Exact,"10934 S WESTERN AVE, CHICAGO, IL, 60643","-87.68125,41.694508",111822545,R
Hsw9,"10426 S. Western Ave., Chicago, IL,  ",Match,Exact,"10426 S WESTERN AVE, CHICAGO, IL, 60643","-87.68156,41.704002",111822193,R
Hfm3,"4257 N. Lincoln Ave., Chicago, IL,  ",Match,Exact,"4257 N LINCOLN AVE, CHICAGO, IL, 60618","-87.682236,41.959126",629477625,R
Slg5,"1615 Oak Ave., Evanston, IL,  ",Match,Exact,"1615 OAK AVE, EVANSTON, IL, 60201","-87.68678,42.047466",605215812,R
Mly3,"2717 N. Maplewood Ave, Chicago, IL,  ",Match,Exact,"2717 N MAPLEWOOD AVE, CHICAGO, IL, 60647","-87.69153,41.93118",618056487,R
Mrg7,"3057 N. Rockwell St., Chicago, IL,  ",Match,Exact,"3057 N ROCKWELL ST, CHICAGO, IL, 60618","-87.69287,41.937077",111760798,R
Lu.4,"1843 S. Washtenaw Ave., Chicago, IL,  ",Match,Exact,"1843 S WASHTENAW AVE, CHICAGO, IL, 60608","-87.69315,41.85722",605053564,L
Rob3,"2323 N. Milwaukee Ave., Chicago, IL,  ",Match,Exact,"2323 N MILWAUKEE AVE, CHICAGO, IL, 60647","-87.69819,41.923428",111762626,R
Tp.7,"2000 Dempster St., Evanston, IL,  ",Match,Exact,"2000 DEMPSTER ST, EVANSTON, IL, 60202","-87.700836,42.041092",636324642,L
Ts.10,"2925 W. Montrose Ave., Chicago, IL,  ",Match,Exact,"2925 W MONTROSE AVE, CHICAGO, IL, 60618","-87.70204,41.961224",605156425,L
Biy3,"2515 N. Milwaukee Ave., Chicago, IL,  ",Match,Exact,"2515 N MILWAUKEE AVE, CHICAGO, IL, 60647","-87.70393,41.92695",605194680,R
DLr6,"1139 Wilmette Ave., Wilmette, IL,  ",Match,Exact,"1139 WILMETTE AVE, WILMETTE, IL, 60091","-87.70584,42.07788",616790126,L
Rom3,"3340 N. Kedzie Ave., Chicago, IL,  ",Match,Exact,"3340 N KEDZIE AVE, CHICAGO, IL, 60618","-87.7077,41.942093",111757318,L
Heg8,"2760 N. Milwaukee Ave., Chicago, IL,  ",Match,Exact,"2760 N MILWAUKEE AVE, CHICAGO, IL, 60647","-87.711205,41.931347",111758924,L
O g1,"3925 W. Dickens Ave., Chicago, IL,  ",Match,Exact,"3925 W DICKENS AVE, CHICAGO, IL, 60647","-87.72537,41.919006",642123020,L
Pe.8,"3912 W McLean Ave., Chicago, IL,  ",Match,Exact,"3912 W MCLEAN AVE, CHICAGO, IL, 60647","-87.72604,41.9181",111758729,R
Arg6,"4055 W. Peterson Ave., Chicago, IL,  ",Match,Exact,"4055 W PETERSON AVE, CHICAGO, IL, 60646","-87.73135,41.990097",636322558,L
Ese6,"4240 W. Irving Park Rd., Chicago, IL,  ",Match,Exact,"4240 W IRVING PARK RD, CHICAGO, IL, 60641","-87.73432,41.95358",605187163,R
O .10,"4419 W. Montrose Ave, Chicago, IL,  ",Match,Exact,"4419 W MONTROSE AVE, CHICAGO, IL, 60641","-87.7392,41.960815",111755390,L
Amn5,"3304 N. Knox Ave., Chicago, IL,  ",Match,Exact,"3304 N KNOX AVE, CHICAGO, IL, 60641","-87.74291,41.940903",111755976,L
